Country;Code;ShortName;Category;Name;Comment;OfficialLanguages;Parent
MY;MY-01;JHR;EN state;EN Johor;;MY;
MY;MY-02;KDH;EN state;EN Kedah;;MY;
MY;MY-03;KTN;EN state;EN Kelantan;;MY;
MY;MY-04;MLK;EN state;EN Melaka;;MY;
MY;MY-05;NSN;EN state;EN Negeri Sembilan;;MY;
MY;MY-06;PHG;EN state;EN Pahang;;MY;
MY;MY-07;PNG;EN state;EN Penang;;MY;
MY;MY-08;PRK;EN state;EN Perak;;MY;
MY;MY-09;PLS;EN state;EN Perlis;;MY;
MY;MY-10;SBH;EN state;EN Sabah;;MY;
MY;MY-11;SWK;EN state;EN Sarawak;;MY;
MY;MY-12;SGR;EN state;EN Selangor;;MY;
MY;MY-13;TRG;EN state;EN Terengganu;;MY;
MY;MY-14;KUL;EN state;EN Kuala Lumpur;;MY;
MY;MY-15;LBN;EN state;EN Labuan;;MY;
MY;MY-16;PJY;EN state;EN Putrajaya;;MY;
